"","Yr1/SpSu","Yr1/FaWi","Yr2/SpSu","Yr2/FaWi","Yr3/SpSu","Yr3/FaWi","Yr4/SpSu","Yr4/FaWi","Yr5/SpSu","Yr5/FaWi","Yr6/SpSu","Yr6/FaWi"
"S",0,20,0,19,0,0,0,0,0,0,0,0
"K",0,0,13,0,0,0,0,0,0,0,0,0
"A",0,20,0,12,0,0,0,0,0,0,0,0
"C",5,38,0,30,0,0,0,0,0,0,0,0
"Y",0,32,0,20,0,0,0,0,0,0,0,0
"B",0,29,2,16,0,0,0,0,0,0,0,0
"E",2,22,1,14,0,0,0,0,0,0,0,0
"P",0,2,0,2,0,0,0,0,0,0,0,0
"L",0,6,0,1,0,0,0,0,0,0,0,0
