"","Yr1/SpSu","Yr1/FaWi","Yr2/SpSu","Yr2/FaWi","Yr3/SpSu","Yr3/FaWi","Yr4/SpSu","Yr4/FaWi","Yr5/SpSu","Yr5/FaWi","Yr6/SpSu","Yr6/FaWi"
"S",0,0,18,18,34,38,35,28,26,22,20,0
"K",0,0,0,10,4,9,2,4,2,7,1,0
"A",0,0,9,15,28,29,24,19,12,1,1,0
"C",0,3,35,38,59,64,50,44,29,29,22,1
"Y",0,0,18,16,16,18,0,15,0,1,20,14
"B",0,0,0,11,19,30,17,18,2,6,2,2
"E",0,0,13,12,12,34,10,22,6,3,1,0
"P",0,0,1,1,3,3,3,3,2,2,2,0
"L",0,0,5,1,5,3,4,1,1,0,0,0
