"","Yr1/SpSu","Yr1/FaWi","Yr2/SpSu","Yr2/FaWi","Yr3/SpSu","Yr3/FaWi","Yr4/SpSu","Yr4/FaWi","Yr5/SpSu","Yr5/FaWi","Yr6/SpSu","Yr6/FaWi"
"S",0,0,18,18,35,38,35,28,26,22,20,0
"K",0,0,0,10,9,9,6,4,7,7,7,0
"A",0,0,17,15,31,29,28,19,14,1,2,0
"C",0,3,37,38,63,64,53,44,31,29,27,1
"Y",0,0,21,16,31,18,12,15,3,1,23,14
"B",0,0,18,11,31,30,29,18,9,6,11,2
"E",0,0,17,12,29,34,25,22,11,3,7,0
"P",0,0,1,1,3,3,3,3,2,2,2,0
"L",0,0,5,1,5,3,4,1,1,0,0,0
