Date/Time,Code Space,ID,Sensor 1,Units 1,Sensor 2,Units 2,Transmitter Name,Transmitter S/N,Receiver Name,Receiver S/N,Station Name,Station Latitude,Station Longitude
2012-06-26 18:58:13,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 18:59:21,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:00:43,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:02:33,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:03:59,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:05:59,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:07:45,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:09:05,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:10:51,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:12:09,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:13:52,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:15:05,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:16:39,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:18:52,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:21:04,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:23:15,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:25:24,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:27:28,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:29:24,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:31:02,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:32:04,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:33:15,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:34:44,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:36:50,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:38:47,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:46:10,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:48:07,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:49:48,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:50:56,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:52:18,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:54:10,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:55:41,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:57:49,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 19:59:51,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:01:43,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:03:13,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:05:20,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:07:20,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:09:06,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:13:33,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:15:20,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:16:41,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:18:29,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:21:43,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:25:19,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:27:18,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:29:01,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:30:15,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:31:49,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:32:44,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:33:41,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:34:41,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:37:08,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:38:55,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:40:15,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:42:03,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
2012-06-26 20:43:25,A69-1303,46211,,,,,,,VR2W-114401,114401,,,
