Month,Day,Year,Time,Receiver,Transmitter
9,28,2012,0:01,114974,31754
9,28,2012,0:09,114974,31754
9,28,2012,0:10,114974,31754
9,28,2012,0:13,114974,31754
9,28,2012,0:15,114974,31754
9,28,2012,0:16,114974,31754
9,28,2012,0:17,114974,31754
9,28,2012,0:18,114974,31754
9,28,2012,0:20,114974,31754
9,28,2012,0:21,114974,31754
9,28,2012,0:23,114974,31754
9,28,2012,0:25,114974,31754
9,28,2012,0:27,114974,31754
9,28,2012,0:29,114974,31754
9,28,2012,0:31,114974,31754
9,28,2012,0:32,114974,31754
9,28,2012,17:35,114974,31754
9,28,2012,17:37,114974,31754
9,28,2012,17:40,114974,31754
9,28,2012,17:42,114974,31754
9,28,2012,17:44,114974,31754
9,28,2012,17:45,114974,31754
9,28,2012,17:47,114974,31754
9,28,2012,17:49,114974,31754
9,28,2012,17:51,114974,31754
9,28,2012,17:57,114974,31754
9,28,2012,17:59,114974,31754
9,29,2012,1:44,114974,31754
9,29,2012,1:48,114974,31754
9,29,2012,1:51,114974,31754
9,29,2012,1:53,114974,31754
9,29,2012,1:55,114974,31754
9,29,2012,1:57,114974,31754
9,29,2012,1:58,114974,31754
9,29,2012,1:59,114974,31754
9,29,2012,2:01,114974,31754
9,29,2012,2:03,114974,31754
9,29,2012,2:05,114974,31754
9,29,2012,2:08,114974,31754
9,29,2012,2:10,114974,31754
9,29,2012,2:12,114974,31754
9,29,2012,2:14,114974,31754
10,20,2012,10:10,114974,31746
10,20,2012,10:12,114974,31746
10,20,2012,10:14,114974,31746
10,20,2012,10:17,114974,31746
10,20,2012,10:19,114974,31746
10,20,2012,10:21,114974,31746
10,20,2012,10:22,114974,31746
10,20,2012,10:24,114974,31746
10,20,2012,10:25,114974,31746
10,20,2012,10:27,114974,31746
10,20,2012,10:29,114974,31746
10,20,2012,10:30,114974,31746
10,20,2012,10:32,114974,31746
10,20,2012,10:35,114974,31746
10,20,2012,10:37,114974,31746
10,20,2012,10:47,114974,31746
10,20,2012,10:52,114974,31746
10,20,2012,10:56,114974,31746
10,20,2012,10:57,114974,31746
10,20,2012,10:59,114974,31746
10,20,2012,11:00,114974,31746
10,20,2012,11:01,114974,31746
10,20,2012,11:06,114974,31746
10,20,2012,11:07,114974,31746
10,20,2012,11:10,114974,31746
10,20,2012,11:17,114974,31746
10,20,2012,11:26,114974,31746
10,20,2012,11:48,114974,31746
10,20,2012,11:53,114974,31746
10,20,2012,11:57,114974,31746
10,20,2012,12:01,114974,31746
10,20,2012,12:03,114974,31746
10,20,2012,12:07,114974,31746
10,20,2012,12:09,114974,31746
10,20,2012,12:10,114974,31746
10,20,2012,12:12,114974,31746
10,20,2012,12:14,114974,31746
10,20,2012,12:16,114974,31746
10,20,2012,12:18,114974,31746
10,20,2012,12:19,114974,31746
10,20,2012,12:30,114974,31746
10,20,2012,21:10,114974,31746
10,20,2012,21:11,114974,31746
10,20,2012,21:13,114974,31746
10,20,2012,21:15,114974,31746
10,20,2012,21:17,114974,31746
10,20,2012,21:19,114974,31746
10,20,2012,21:21,114974,31746
10,20,2012,21:25,114974,31746
10,20,2012,21:31,114974,31746
10,20,2012,21:36,114974,31746
10,20,2012,21:43,114974,31746
10,20,2012,21:45,114974,31746
10,20,2012,21:47,114974,31746
10,20,2012,21:59,114974,31746
10,20,2012,22:00,114974,31746
10,20,2012,22:02,114974,31746
10,20,2012,22:04,114974,31746
10,20,2012,22:06,114974,31746
10,20,2012,22:07,114974,31746
10,20,2012,22:09,114974,31746
10,20,2012,22:10,114974,31746
10,20,2012,22:12,114974,31746
10,20,2012,22:13,114974,31746
10,20,2012,22:17,114974,31746
10,20,2012,22:19,114974,31746
10,20,2012,22:22,114974,31746
10,20,2012,22:24,114974,31746
10,20,2012,22:26,114974,31746
10,20,2012,22:28,114974,31746
10,20,2012,22:30,114974,31746
10,20,2012,22:31,114974,31746
10,20,2012,22:32,114974,31746
10,20,2012,22:38,114974,31746
10,20,2012,22:40,114974,31746
10,20,2012,22:44,114974,31746
10,20,2012,22:46,114974,31746
