"","SpSu/2008","FaWi/2008","FaWi/2009","SpSu/2009","FaWi/2010","SpSu/2010","FaWi/2011","SpSu/2011","FaWi/2012","SpSu/2012","FaWi/2013","SpSu/2013","FaWi/2014","SpSu/2014","FaWi/2015","SpSu/2015","FaWi/2016","SpSu/2016"
"S",NA,NA,NA,NA,0,0,0.45,0.45,0.65,0.683333333333333,0.8,0.883333333333333,0.683333333333333,0.75,0.166666666666667,0.633333333333333,0,0
"K",NA,NA,NA,NA,NA,NA,0,0.764705882352941,0.444444444444444,0.37037037037037,0.407407407407407,0.666666666666667,0.259259259259259,0.296296296296296,0.0740740740740741,0.259259259259259,0,0
"A",NA,NA,NA,NA,0,0,0.358974358974359,0.384615384615385,0.654545454545455,0.637931034482759,0.706896551724138,0.810344827586207,0.103448275862069,0.53448275862069,0.0172413793103448,0.136363636363636,0,0
"C",NA,NA,NA,NA,0,0.0535714285714286,0.452830188679245,0.457943925233645,0.598765432098765,0.592592592592593,0.716049382716049,0.759259259259259,0.580246913580247,0.580246913580247,0.037037037037037,0.561728395061728,0,0
"Y",NA,NA,NA,NA,0,0,0.254716981132075,0.416666666666667,0.448,0.546875,0.3671875,0.40625,0.078125,0.1484375,0.185714285714286,0.420689655172414,0,0
"E",NA,NA,NA,NA,0,0,0.3125,0.448979591836735,0.732142857142857,0.678571428571429,0.607142857142857,0.696428571428571,0.107142857142857,0.375,0.0178571428571429,0.2,0,0
"P",0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.214285714285714,0.238095238095238,0.196428571428571,0.140350877192982,0.228915662650602,0.253012048192771,0.0288461538461538,0.375,0,0
"L",NA,NA,NA,0,0,0,0.185185185185185,0.444444444444444,0.241379310344828,0.310344827586207,0.0540540540540541,0.24390243902439,0.108695652173913,0.204081632653061,0,0.192307692307692,0,0
