"","SpSu/2008","FaWi/2008","FaWi/2009","SpSu/2009","FaWi/2010","SpSu/2010","FaWi/2011","SpSu/2011","FaWi/2012","SpSu/2012","FaWi/2013","SpSu/2013","FaWi/2014","SpSu/2014","FaWi/2015","SpSu/2015","FaWi/2016","SpSu/2016"
"S",0,0,0,0,0,0,18,18,39,40,48,53,41,45,10,38,0,0
"K",0,0,0,0,0,0,0,13,12,5,11,10,7,2,2,1,0,0
"A",0,0,0,0,0,0,14,7,36,33,41,41,6,25,1,4,0,0
"C",0,0,0,0,0,3,48,47,97,92,116,118,94,90,6,78,0,0
"Y",0,0,0,0,0,0,27,32,56,55,47,29,10,10,26,53,0,0
"E",0,0,0,0,0,0,15,16,41,18,34,17,6,13,1,2,0,0
"P",0,0,0,0,0,0,6,6,9,10,11,8,19,21,3,37,0,0
"L",0,0,0,0,0,0,5,12,7,9,2,10,5,10,0,10,0,0
