"","SpSu/2008","FaWi/2008","FaWi/2009","SpSu/2009","FaWi/2010","SpSu/2010","FaWi/2011","SpSu/2011","FaWi/2012","SpSu/2012","FaWi/2013","SpSu/2013","FaWi/2014","SpSu/2014","FaWi/2015","SpSu/2015","FaWi/2016","SpSu/2016"
"S",0,0,0,0,20,0,20,0,20,0,0,0,0,0,0,0,0,0
"K",0,0,0,0,0,0,13,4,10,0,0,0,0,0,0,0,0,0
"A",0,0,0,0,19,0,20,0,16,3,0,0,0,0,0,8,0,0
"C",0,0,0,0,54,2,50,1,55,0,0,0,0,0,0,0,0,10
"Y",0,0,0,0,64,0,42,2,17,3,0,0,0,0,12,5,0,0
"E",0,0,0,0,32,2,14,1,7,0,0,0,0,0,0,19,0,0
"P",1,5,1,1,16,0,12,0,6,0,14,1,26,0,21,0,0,0
"L",0,0,0,1,11,14,1,0,2,0,8,4,5,3,3,0,0,0
