"","vTagID","Date","System","FL_mm","asDate","Year","Month","Day"
"518",9468,"4/2/2008","Pascagoula",780,"2008-04-02","2008","04","02"
"515",9466,"10/14/2008","Pascagoula",1890,"2008-10-14","2008","10","14"
"520",9464,"10/24/2008","Pascagoula",870,"2008-10-24","2008","10","24"
"516",9469,"10/28/2008","Pascagoula",1100,"2008-10-28","2008","10","28"
"517",9463,"10/28/2008","Pascagoula",740,"2008-10-28","2008","10","28"
"521",9459,"10/28/2008","Pascagoula",1570,"2008-10-28","2008","10","28"
"522",9460,"3/11/2009","Pascagoula",960,"2009-03-11","2009","03","11"
"635",56351,"3/11/2009","Pearl",1540,"2009-03-11","2009","03","11"
"519",9474,"9/9/2009","Pascagoula",1350,"2009-09-09","2009","09","09"
"636",62675,"4/8/2010","Pearl",1730,"2010-04-08","2010","04","08"
"637",62676,"4/14/2010","Pearl",2000,"2010-04-14","2010","04","14"
"640",62669,"4/19/2010","Pearl",1660,"2010-04-19","2010","04","19"
"641",62667,"4/19/2010","Pearl",1740,"2010-04-19","2010","04","19"
"642",62263,"4/20/2010","Pearl",1650,"2010-04-20","2010","04","20"
"643",56347,"4/21/2010","Pearl",2150,"2010-04-21","2010","04","21"
"644",62662,"4/22/2010","Pearl",1860,"2010-04-22","2010","04","22"
"645",48400,"4/22/2010","Pearl",1660,"2010-04-22","2010","04","22"
"647",62673,"4/28/2010","Pearl",1610,"2010-04-28","2010","04","28"
"648",62672,"4/28/2010","Pearl",1990,"2010-04-28","2010","04","28"
"649",62671,"4/28/2010","Pearl",1630,"2010-04-28","2010","04","28"
"430",46436,"9/2/2010","Yellow",1270,"2010-09-02","2010","09","02"
"568",46574,"9/9/2010","Pascagoula",530,"2010-09-09","2010","09","09"
"413",46419,"9/10/2010","Yellow",1380,"2010-09-10","2010","09","10"
"416",46422,"9/14/2010","Escambia",1500,"2010-09-14","2010","09","14"
"437",46444,"9/14/2010","Escambia",1620,"2010-09-14","2010","09","14"
"690",46149,"9/27/2010","Suwannee",1708,"2010-09-27","2010","09","27"
"39",45766,"10/6/2010","Yellow",1830,"2010-10-06","2010","10","06"
"42",46123,"10/6/2010","Yellow",1760,"2010-10-06","2010","10","06"
"47",46171,"10/6/2010","Yellow",1500,"2010-10-06","2010","10","06"
"608",21534,"11/3/2010","Pascagoula",870,"2010-11-03","2010","11","03"
"454",19301,"8/10/2011","Ochlockonee",1620,"2011-08-10","2011","08","10"
"457",19304,"8/10/2011","Ochlockonee",1440,"2011-08-10","2011","08","10"
"466",6512,"8/26/2011","Ochlockonee",1470,"2011-08-26","2011","08","26"
"121",30540,"10/3/2011","Yellow",1280,"2011-10-03","2011","10","03"
"124",30544,"10/3/2011","Yellow",1320,"2011-10-03","2011","10","03"
"126",30546,"10/3/2011","Yellow",1610,"2011-10-03","2011","10","03"
"143",30529,"10/6/2011","Yellow",1800,"2011-10-06","2011","10","06"
"144",30531,"10/6/2011","Yellow",1690,"2011-10-06","2011","10","06"
"191",305082,"10/13/2011","Choctawhatchee",1320,"2011-10-13","2011","10","13"
"192",22918,"10/13/2011","Escambia",1310,"2011-10-13","2011","10","13"
"213",31752,"10/14/2011","Choctawhatchee",1260,"2011-10-14","2011","10","14"
"247",9746,"11/2/2011","Apalachicola",1160,"2011-11-02","2011","11","02"
"774",29862,"4/3/2012","Yellow",1360,"2012-04-03","2012","04","03"
"777",9745,"4/23/2012","Apalachicola",1150,"2012-04-23","2012","04","23"
"478",29836,"8/30/2012","Apalachicola",1460,"2012-08-30","2012","08","30"
"482",29840,"8/31/2012","Apalachicola",1560,"2012-08-31","2012","08","31"
"487",29845,"9/11/2012","Apalachicola",1450,"2012-09-11","2012","09","11"
"723",29856,"9/11/2012","Yellow",1760,"2012-09-11","2012","09","11"
"728",29863,"9/19/2012","Yellow",1520,"2012-09-19","2012","09","19"
"730",29858,"9/20/2012","Yellow",1820,"2012-09-20","2012","09","20"
